,en_frailty_cmb
0,0.13129549361494416
1,0.09744862187918274
2,0.17308006601208809
3,0.17443827490771607
4,0.11594545847245064
5,0.12106930279037122
6,0.1225495367701242
7,0.07834833593720031
8,0.11281536112918025
9,0.12654617816293579
10,0.08001585195776328
11,0.1815847453416245
12,0.08811133216339934
13,0.1114887284269811
14,0.1575203150584901
15,0.16837585180634868
16,0.14401437365508163
17,0.12367153486010501
18,0.17147307800815112
19,0.14761461465067263
20,0.0844222837517424
21,0.10210049508213667
22,0.07209487709247156
23,0.14492662840341897
24,0.16698724135876944
25,0.16480895262654252
26,0.10867504149405537
27,0.10659444101097984
28,0.13839440481418505
29,0.1112791886200864
30,0.19390744925816253
31,0.1837048193555316
32,0.10880094513039432
33,0.1288814900898392
34,0.11397516220588666
35,0.17676946602788843
36,0.11867904999955148
37,0.13504503461766884
38,0.09819915232058483
39,0.07508240582630149
40,0.17862612345863138
41,0.1313018445173468
42,0.16532138840332447
43,0.08498085651396066
44,0.09056595387681038
45,0.14656873710074614
46,0.12351895879167488
47,0.11834472213780046
48,0.1507110662628966
49,0.12340814322662533
50,0.1455144816495054
51,0.1176084991849912
52,0.19305527286048763
53,0.12067062132978432
54,0.10337456067480223
55,0.14926209457046002
56,0.08500502398614872
57,0.1531856669725603
58,0.13768809887044034
59,0.13021039178144694
60,0.12009459603934265
61,0.06587730993795345
62,0.16064821025129764
63,0.1422333681384396
64,0.08167357661435548
65,0.14842054673413252
66,0.06921424105474804
67,0.1217758135348635
68,0.11019195761862655
69,0.17626425270858703
70,0.08275665571129479
71,0.16812343316253797
72,0.0989905052652688
73,0.20442292404992013
74,0.1362621527259072
75,0.1289035534217471
76,0.11830480802565194
77,0.12819591270690117
78,0.10366985935162101
79,0.13289734892018457
80,0.12652238161122822
81,0.18392167309722418
82,0.12563102988412228
83,0.10279624181520419
84,0.22142314628596205
85,0.0832689159184265
86,0.10057200622189907
87,0.06590214168346976
88,0.1371006051017002
89,0.07768073072934309
90,0.08381489792272548
91,0.09702011125845136
92,0.1014189535491592
93,0.15692686694255883
94,0.1292053133277115
95,0.15639531295141137
96,0.09731835469898978
97,0.10936037096766896
98,0.09923644637490435
99,0.08889968853879077
100,0.05333686483416468
101,0.10339882172408779
102,0.12966561758359957
103,0.10485459468500496
104,0.13289876933088182
105,0.13152564413694356
106,0.14792594234562273
107,0.13308079705139025
108,0.11839493587730562
109,0.14804577637609928
110,0.09282215197142912
111,0.16871557108867902
112,0.1646798428354155
113,0.10482504031464465
114,0.0894257979323306
115,0.10688803303299126
116,0.1134720783524097
117,0.11037077442051407
118,0.08498742306777621
119,0.07056582009930844
120,0.13547587893859658
121,0.18709628467348152
122,0.12080245440102896
123,0.16027341186912314
124,0.07531348506796329
125,0.12328818761082955
126,0.15264841433881152
127,0.1502319771204188
128,0.13660568618704547
